Server started on port 1759
Press ctrl-c to exit.
(0.7071067811865476,0,0.7071067811865475)
(1,0,-7.850462293418876e-17)
(0.7071067811865475,0,-0.7071067811865476)
(-7.850462293418876e-17,0,-1)
(-0.7071067811865476,0,-0.7071067811865475)
(-1,0,7.850462293418876e-17)
(-0.7071067811865475,0,0.7071067811865476)
(7.850462293418876e-17,0,1)
(0.7071067811865476,0,0.7071067811865475)
(1,0,-7.850462293418876e-17)
(0.7071067811865475,0,-0.7071067811865476)
(-7.850462293418876e-17,0,-1)
(-0.7071067811865476,0,-0.7071067811865475)
(-1,0,7.850462293418876e-17)
(-0.7071067811865475,0,0.7071067811865476)
(7.850462293418876e-17,0,1)
(0.7071067811865476,0,0.7071067811865475)
(1,0,-7.850462293418876e-17)
(0.7071067811865475,0,-0.7071067811865476)
(-7.850462293418876e-17,0,-1)
(-0.7071067811865476,0,-0.7071067811865475)
(-1,0,7.850462293418876e-17)
(-0.7071067811865475,0,0.7071067811865476)
(7.850462293418876e-17,0,1)
(0.7071067811865476,0,0.7071067811865475)
(1,0,-7.850462293418876e-17)
(0.7071067811865475,0,-0.7071067811865476)
(-7.850462293418876e-17,0,-1)
(-0.7071067811865476,0,-0.7071067811865475)
(-1,0,7.850462293418876e-17)
(-0.7071067811865475,0,0.7071067811865476)
(7.850462293418876e-17,0,1)
(0.7071067811865476,0,0.7071067811865475)
(1,0,-7.850462293418876e-17)
(0.7071067811865475,0,-0.7071067811865476)
(-7.850462293418876e-17,0,-1)
(-0.7071067811865476,0,-0.7071067811865475)
(-1,0,7.850462293418876e-17)
(-0.7071067811865475,0,0.7071067811865476)
(7.850462293418876e-17,0,1)
(0.7071067811865476,0,0.7071067811865475)
(1,0,-7.850462293418876e-17)
(0.7071067811865475,0,-0.7071067811865476)
(-7.850462293418876e-17,0,-1)
(-0.7071067811865476,0,-0.7071067811865475)
(-1,0,7.850462293418876e-17)
(-0.7071067811865475,0,0.7071067811865476)
(7.850462293418876e-17,0,1)
(0.7071067811865476,0,0.7071067811865475)
(1,0,-7.850462293418876e-17)
(0.7071067811865475,0,-0.7071067811865476)
(-7.850462293418876e-17,0,-1)
(-0.7071067811865476,0,-0.7071067811865475)
(-1,0,7.850462293418876e-17)
(-0.7071067811865475,0,0.7071067811865476)
(7.850462293418876e-17,0,1)
(0.7071067811865476,0,0.7071067811865475)
(1,0,-7.850462293418876e-17)
(0.7071067811865475,0,-0.7071067811865476)
(-7.850462293418876e-17,0,-1)
(-0.7071067811865476,0,-0.7071067811865475)
(-1,0,7.850462293418876e-17)
(-0.7071067811865475,0,0.7071067811865476)
(7.850462293418876e-17,0,1)
(0.7071067811865476,0,0.7071067811865475)
(1,0,-7.850462293418876e-17)
(0.7071067811865475,0,-0.7071067811865476)
(-7.850462293418876e-17,0,-1)
(-0.7071067811865476,0,-0.7071067811865475)
(-1,0,7.850462293418876e-17)
(-0.7071067811865475,0,0.7071067811865476)
(7.850462293418876e-17,0,1)
(0.7071067811865476,0,0.7071067811865475)
(1,0,-7.850462293418876e-17)
(0.7071067811865475,0,-0.7071067811865476)
(-7.850462293418876e-17,0,-1)
(-0.7071067811865476,0,-0.7071067811865475)
(-1,0,7.850462293418876e-17)
(-0.7071067811865475,0,0.7071067811865476)
(7.850462293418876e-17,0,1)
(0.7071067811865476,0,0.7071067811865475)
(1,0,-7.850462293418876e-17)
(0.7071067811865475,0,-0.7071067811865476)
(-7.850462293418876e-17,0,-1)
(-0.7071067811865476,0,-0.7071067811865475)
(-1,0,7.850462293418876e-17)
(-0.7071067811865475,0,0.7071067811865476)
(7.850462293418876e-17,0,1)
(0.7071067811865476,0,0.7071067811865475)
(1,0,-7.850462293418876e-17)
(0.7071067811865475,0,-0.7071067811865476)
(-7.850462293418876e-17,0,-1)
(-0.7071067811865476,0,-0.7071067811865475)
(-1,0,7.850462293418876e-17)
(-0.7071067811865475,0,0.7071067811865476)
(7.850462293418876e-17,0,1)
(0.7071067811865476,0,0.7071067811865475)
(1,0,-7.850462293418876e-17)
(0.7071067811865475,0,-0.7071067811865476)
(-7.850462293418876e-17,0,-1)
(-0.7071067811865476,0,-0.7071067811865475)
